customerkey,customercode,name,education,occupation
17160,CS28159,Tamara Yang,Bachelors,Professional
17163,CS28162,Bruce Ward,Partial College,Skilled Manual
17165,CS28164,Gabrielle Coleman,Partial College,Skilled Manual
17599,CS28598,Wyatt Russell,High School,Clerical
17600,CS28599,Stephanie Perry,High School,Clerical
17602,CS28601,Christian Gonzales,High School,Clerical
17604,CS28603,Brian Bell,Partial High School,Clerical
17605,CS28604,Allison James,Partial High School,Clerical
17607,CS28606,Joshua Wilson,Partial High School,Clerical
5963,CS16962,Zachary Coleman,Graduate Degree,Professional
5964,CS16963,Faith Hughes,Graduate Degree,Professional
5966,CS16965,Kristi Romero,Bachelors,Skilled Manual
5967,CS16966,Amanda Diaz,High School,Skilled Manual
5968,CS16967,Noah Hernandez,Graduate Degree,Professional
5969,CS16968,Ian Griffin,Graduate Degree,Professional
5971,CS16970,Katherine Foster,Bachelors,Skilled Manual
13528,CS24527,Gavin Coleman,Graduate Degree,Management
13529,CS24528,Katherine Hernandez,Graduate Degree,Management
13530,CS24529,Jillian Martinez,Graduate Degree,Management
13531,CS24530,Franklin She,Graduate Degree,Management
13999,CS24998,Olivia Martinez,Graduate Degree,Management
14000,CS24999,Shaun Jai,Graduate Degree,Management
14155,CS25154,Clinton Serrano,Bachelors,Management
14156,CS25155,Theresa Alonso,Bachelors,Management
14162,CS25161,Isabella Flores,Bachelors,Management
14163,CS25162,Bryan Morris,Bachelors,Management
14170,CS25169,Angel Peterson,Graduate Degree,Management
14185,CS25184,Peter Tang,Partial College,Professional
14186,CS25185,Jade Reed,Bachelors,Management
14192,CS25191,Austin Gonzales,Graduate Degree,Management
14966,CS25965,Andrea Roberts,Graduate Degree,Management
14967,CS25966,Alex Watson,Graduate Degree,Management
15058,CS26057,Barry Subram,Bachelors,Management
15060,CS26059,Andrew Anderson,Graduate Degree,Management
15061,CS26060,Kyle Edwards,Graduate Degree,Management
15062,CS26061,Connor Butler,Graduate Degree,Management
15066,CS26065,Chloe Powell,Bachelors,Management
15083,CS26082,Christian Johnson,Bachelors,Management
15084,CS26083,Alyssa Smith,Partial College,Professional
15085,CS26084,Luke Jenkins,Bachelors,Management
15090,CS26089,Terry Rai,Bachelors,Management
15091,CS26090,Mathew Moreno,Bachelors,Management
15092,CS26091,Chloe Bennett,Bachelors,Management
15099,CS26098,Daniel Lee,Graduate Degree,Management
15107,CS26106,Connor King,High School,Professional
15108,CS26107,Alexis Thomas,Bachelors,Management
15109,CS26108,Dylan Thompson,Graduate Degree,Management
15204,CS26203,Nicole Hall,Bachelors,Management
15539,CS26538,Warren Black,Graduate Degree,Management
15541,CS26540,Jada Sanchez,Graduate Degree,Management
15594,CS26593,Eduardo Campbell,Graduate Degree,Management
15685,CS26684,Dustin Andersen,Bachelors,Management
15691,CS26690,Alexia Bennett,Bachelors,Management
15692,CS26691,Tina Suri,Bachelors,Management
15699,CS26698,Brooke Rivera,Partial College,Professional
15705,CS26704,Frank Alvarez,Bachelors,Management
15706,CS26705,Eric Jenkins,Partial College,Professional
15708,CS26707,Sydney Brooks,Bachelors,Management
15709,CS26708,Katherine Washington,Partial College,Professional
15723,CS26722,Alexandra McDonald,Partial College,Professional
15724,CS26723,Devin Kelly,Bachelors,Management
16453,CS27452,Evan Watson,Bachelors,Management
16460,CS27459,Kevin Kumar,Graduate Degree,Management
16461,CS27460,Grant Goel,Graduate Degree,Management
16528,CS27527,Tina Sanchez,Bachelors,Management
16529,CS27528,Jade Stewart,Graduate Degree,Management
16530,CS27529,Rachel White,Graduate Degree,Management
16616,CS27615,Maria Henderson,Bachelors,Management
16620,CS27619,Joseph Lee,Partial College,Professional
16621,CS27620,Nicole Hughes,Graduate Degree,Management
16622,CS27621,Edward Brown,Graduate Degree,Management
16631,CS27630,Xavier Coleman,Bachelors,Management
16632,CS27631,Gabriella Phillips,Bachelors,Management
16641,CS27640,Lauren Thomas,Partial College,Professional
16642,CS27641,Miranda Alexander,Partial College,Professional
16646,CS27645,Colin Anand,High School,Professional
16647,CS27646,Jackson Li,Bachelors,Management
16648,CS27647,Daniel Moore,Partial College,Professional
16662,CS27661,Christopher Martinez,Graduate Degree,Management
16664,CS27663,Aaron Collins,Graduate Degree,Management
16665,CS27664,Luis Roberts,Bachelors,Management
17076,CS28075,Edward Jones,Graduate Degree,Management
17077,CS28076,Logan Williams,Graduate Degree,Management
17084,CS28083,Kaitlyn Foster,Graduate Degree,Management
17085,CS28084,Cameron McDonald,Graduate Degree,Management
17147,CS28146,Gavin Washington,Graduate Degree,Management
17236,CS28235,Cole Rogers,Bachelors,Management
17237,CS28236,Isabel Diaz,Bachelors,Management
17238,CS28237,Hailey Foster,Bachelors,Management
17239,CS28238,Dalton Flores,Bachelors,Management
17243,CS28242,Madison Butler,Partial College,Professional
17244,CS28243,Marcus Cook,Bachelors,Management
17245,CS28244,Samantha Davis,Bachelors,Management
17253,CS28252,Sydney Murphy,Bachelors,Management
17254,CS28253,Jeremiah Green,Bachelors,Management
17260,CS28259,Samuel Mitchell,Bachelors,Management
17268,CS28267,Jordan Young,Partial College,Professional
17269,CS28268,Jordan Campbell,High School,Professional
17288,CS28287,Lauren Bennett,Partial College,Professional
17289,CS28288,Marco Srini,Partial College,Professional
17290,CS28289,Jack Gonzales,Partial College,Professional
18049,CS29048,William Harris,Bachelors,Management
18128,CS29127,Bryan Murphy,Bachelors,Management
18129,CS29128,Alyssa Reed,Graduate Degree,Management
